date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:01	190058/190058	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:42%20GMT	https://htmlbigstart.justthemevalley.com/Version2/index.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/index.html	(from )
14:36:02	1165/1165	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2010:15:15%20GMT	https://htmlbigstart.justthemevalley.com/robots.txt		(from )
14:36:02	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-6243fa02-3dd24b4688d126de;gz%22	https://htmlbigstart.justthemevalley.com/Version2/favicon.ico	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/favicon.ico	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:03	782/782	---M-Z	200	added ('OK')	text/css	etag:%2230e-6243fa04-fe355070269a46bb;gz%22	https://htmlbigstart.justthemevalley.com/Version2/style.css	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/style.css	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:03	106442/106442	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:43%20GMT	https://htmlbigstart.justthemevalley.com/Version2/shop_grid.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/shop_grid.html	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:03	83037/83037	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:43%20GMT	https://htmlbigstart.justthemevalley.com/Version2/shop_grid_full_width.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/shop_grid_full_width.html	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:04	83558/83558	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:44%20GMT	https://htmlbigstart.justthemevalley.com/Version2/shop_list.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/shop_list.html	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:04	90588/90588	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:44%20GMT	https://htmlbigstart.justthemevalley.com/Version2/single_product.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/single_product.html	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:05	94824/94824	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:45%20GMT	https://htmlbigstart.justthemevalley.com/Version2/single_product_sidebar.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/single_product_sidebar.html	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:05	90862/90862	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:44%20GMT	https://htmlbigstart.justthemevalley.com/Version2/single_product_magnify_zoom.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/single_product_magnify_zoom.html	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:06	47263/47263	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:43%20GMT	https://htmlbigstart.justthemevalley.com/Version2/shopping_cart.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/shopping_cart.html	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:06	48097/48097	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:44%20GMT	https://htmlbigstart.justthemevalley.com/Version2/wishlist.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/wishlist.html	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:07	49035/49035	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:42%20GMT	https://htmlbigstart.justthemevalley.com/Version2/compare.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/compare.html	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
14:36:07	61596/61596	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2006:34:42%20GMT	https://htmlbigstart.justthemevalley.com/Version2/checkout.html	C:/Users/user/Desktop/for/htmlbigstart.justthemevalley.com/Version2/checkout.html	(from https://htmlbigstart.justthemevalley.com/Version2/index.html)
